,@type,availability,name,price,url,image.@type,image.contentUrl,Year,id
34,Offer,http://schema.org/InStock,Rolex Submariner ,22969.0,https://www.chrono24.com.au/rolex/submariner--id13716275.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/images_75/s2/13716275_xxl_v1579533667781.jpg,1980,13716275.htm
35,Offer,http://schema.org/InStock,Rolex 1980 Submariner 5513 ,13951.0,https://www.chrono24.com.au/rolex/1980-submariner-5513--id13404134.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/images_34/s1/13404134_xxl_v1579838814740.jpg,1980,13404134.htm
36,Offer,http://schema.org/InStock,Rolex Submariner 1680 Men's Black Stainless Steel 40mm Automatic 1 Year Warranty ,21688.0,https://www.chrono24.com.au/rolex/submariner-1680-mens-black-stainless-steel-40mm-automatic-1-year-warranty--id12912130.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/images_30/s1/12912130_xxl_v1573527288846.jpg,1980,12912130.htm
37,Offer,http://schema.org/InStock,Rolex Submariner 16800 Matte Black Stainless Steel Watch Boxes &amp; Tag ,16806.0,https://www.chrono24.com.au/rolex/submariner-16800-matte-black-stainless-steel-watch-boxes-amp-tag--id12856905.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/images_05/s9/12856905_xxl_v1575236561881.jpg,1980,12856905.htm
38,Offer,http://schema.org/InStock,Rolex Submariner ref.5513 Maxi Dial Top Conditions ,28754.0,https://www.chrono24.com.au/rolex/submariner-ref5513-maxi-dial-top-conditions--id12473207.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/images_07/s2/12473207_xxl_v1569313123726.jpg,1980,12473207.htm
39,Offer,http://schema.org/InStock,Rolex Submariner Plexi Ref.5513 ,20757.0,https://www.chrono24.com.au/rolex/submariner-plexi-ref5513--id12374617.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/images_17/s6/12374617_xxl_v1572956208537.jpg,1980,12374617.htm
40,Offer,http://schema.org/InStock,Rolex Submariner Ref. 1680 Ghost Insert 1980 ,22307.0,https://www.chrono24.com.au/rolex/submariner-ref-1680-ghost-insert-1980--id11969823.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/images_23/s8/11969823_xxl_v1565361934362.jpg,1980,11969823.htm
41,Offer,http://schema.org/InStock,Rolex Submariner (No Date) ,13323.0,https://www.chrono24.com.au/rolex/submariner-no-date--id11596645.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/images_45/s6/11596645_xxl_v1562178097160.jpg,1980,11596645.htm
42,Offer,http://schema.org/InStock,Rolex Submariner (No Date) ,28266.0,https://www.chrono24.com.au/rolex/submariner-no-date--id11047654.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/images_54/s6/11047654_xxl_v1556130867312.jpg,1980,11047654.htm
43,Offer,http://schema.org/InStock,Rolex Submariner Date 16808 ,36581.0,https://www.chrono24.com.au/rolex/submariner-date-16808--id10989857.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/images_57/s8/10989857_xxl_v1555410988535.jpg,1980,10989857.htm
44,Offer,http://schema.org/InStock,Rolex Submariner 16800 Vintage 1983 Black Dial Stainless Steel Watch with Boxes ,16501.0,https://www.chrono24.com.au/rolex/submariner-16800-vintage-1983-black-dial-stainless-steel-watch-with-boxes--id10987021.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/images_21/s0/10987021_xxl_v1555376498732.jpg,1980,10987021.htm
45,Offer,http://schema.org/InStock,Rolex Submariner Date Yellow Gold Ref. 16808 Transizional ,,https://www.chrono24.com.au/rolex/submariner-date-yellow-gold-ref-16808-transizional--id10378347.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/images_47/s3/10378347_xxl.jpg,1980,10378347.htm
46,Offer,http://schema.org/InStock,Rolex Vintage Rolex Submariner Date 40mm 16800 Steel Matte Black Dial & Bezel W/box ,15202.0,https://www.chrono24.com.au/rolex/vintage-rolex-submariner-date-40mm-16800-steel-matte-black-dial--bezel-wbox--id9824541.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/images_41/s5/9824541_xxl_v1580432634386.jpg,1980,9824541.htm
47,Offer,http://schema.org/InStock,Rolex Submariner Date Black Dial rainbow Bezel ,17645.0,https://www.chrono24.com.au/rolex/submariner-date-black-dial-rainbow-bezel--id8677529.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/images_29/s5/8677529_xxl.jpg,1980,8677529.htm
